feature,f_score,p_value,selected
C4BPA,86.87434429843697,1.4321262043002897e-18,True
FLJ33360,86.4198994859763,1.7206510512154136e-18,True
OR52A1,85.91645166763782,2.109129819249676e-18,True
VWDE,85.9084348592875,2.1159822837378706e-18,True
NCRNA00189,85.75210971530034,2.254172027464246e-18,True
ZNF540,85.71797619376454,2.2855336420375022e-18,True
LILRB1,84.78755672398411,3.3323173865212748e-18,True
LCE1A,84.41956471955831,3.8691758247383216e-18,True
CLDN4,84.10874736424549,4.389927205234129e-18,True
HBBP1,84.09267386590176,4.418698605318229e-18,True
HLA-DMB,84.0728088135885,4.454519112300275e-18,True
CCBP2,83.49552352993605,5.633451869505882e-18,True
FAT2,83.45311656340948,5.731538956155412e-18,True
MAGI2,83.11299360079873,6.583037273132718e-18,True
C1QTNF8,82.709943363158,7.758477845825885e-18,True
LOC644649,82.37722982171856,8.886466598829442e-18,True
SPATA19,81.72900709962853,1.1580464064145961e-17,True
LOC200726,81.08226811937476,1.508845181939916e-17,True
SDR9C7,80.54913247847404,1.8772270750861928e-17,True
OR10Z1,80.29975852344916,2.0793931819749358e-17,True
MIR141,79.50839081149323,2.877948549498219e-17,True
OR3A4,79.45595653145254,2.940661069250112e-17,True
ZBTB46,78.37946223036973,4.5805956367081737e-17,True
MAT1A,78.33553836278084,4.664301474172121e-17,True
LYPD5,78.26980959207216,4.792444694176572e-17,True
DEFB134,77.96217472491418,5.440932202677591e-17,True
ProSAPiP1,77.8821196572079,5.623712185487787e-17,True
HBB,77.41712794258162,6.814432185364187e-17,True
JAKMIP3,77.28948015835589,7.183619083589598e-17,True
AZU1,76.9873343658187,8.139729481799566e-17,True
ARHGAP27,76.93218953957559,8.327577820365921e-17,True
C20orf85,76.81470018708642,8.742476152126777e-17,True
GRXCR1,76.21336453561214,1.121522519492811e-16,True
KRTAP21-1,75.89725860448813,1.278610295315767e-16,True
OR52B4,75.6694313726911,1.4053934635052154e-16,True
ANTXRL,75.45840252805306,1.53409218497019e-16,True
ISLR,75.2547361904722,1.6695397354614146e-16,True
MIR494,75.08605864582682,1.790786724393889e-16,True
MIR498,74.94975650402257,1.8952069152044207e-16,True
KRTAP20-1,74.76654087978413,2.0452872072888073e-16,True
PRHOXNB,74.63477022093008,2.1605687198508547e-16,True
ACTBL2,74.59026313215176,2.2009657344913313e-16,True
SLC6A5,74.10159503466221,2.6977782549797127e-16,True
OLIG2,73.98368541025641,2.833681000921979e-16,True
MRGPRX4,73.77590065056256,3.0901610121043843e-16,True
OR4D1,73.61368840544307,3.306526041547861e-16,True
C5orf48,73.46172669664504,3.5230322642676794e-16,True
C18orf20,73.46103001948497,3.524057008797692e-16,True
MNDA,73.02724830768213,4.22405728093324e-16,True
NTM,72.85569973528195,4.538083634138058e-16,True
POU4F2,72.69610386794436,4.851294810097085e-16,True
SYNGR2,72.1718091567199,6.04173920579354e-16,True
NLRP9,72.051133699175,6.355008891852581e-16,True
NWD1,71.96986173973397,6.575149410855366e-16,True
CLDN17,71.9035380719771,6.760474453042104e-16,True
ZNF677,71.7655152481849,7.163170735482777e-16,True
C10orf81,71.74038115403732,7.239059147435019e-16,True
C13orf28,71.63042488170841,7.580681321538687e-16,True
TNFRSF9,71.54173081917313,7.868031021797043e-16,True
C1orf150,71.40276560386152,8.340450048334471e-16,True
ACER1,71.29301582538358,8.73364359432857e-16,True
ANKRD22,71.02780785835044,9.76254343146166e-16,True
GJA10,70.70896966265589,1.1162344410569024e-15,True
OR11L1,69.99879893446857,1.5050293954886359e-15,True
LOC342346,69.80062633274943,1.6360836596408157e-15,True
ODF3L2,69.42192342943399,1.919334272490886e-15,True
OR10A3,68.99178149675645,2.301431695657482e-15,True
S100A12,68.8288920317144,2.4653570419360568e-15,True
